Nazwa funduszu,Kurs,Waluta,St. zw. 1D,St. zw. 7D,St. zw. 1M,St. zw. 3M,St. zw. 1R,St. zw. 3L,Data,Ranking 12M
Trigon Polskie Perły FIZ,"119,94",PLN,"0,00","0,00","0,60","0,00","0,00","0,00",2016-03-23,-
Trigon Profit II NSFIZ,"1 988,56",PLN,"0,00","0,00","0,25","1,44","0,00","0,00",2016-03-23,-
Trigon Profit III FIZ,"114,35",PLN,"0,00","0,00","2,13","0,00","0,00","0,00",2016-03-23,-
Trigon Profit IV NSFIZ,"212,54",PLN,"0,00","0,00","1,13","3,47","0,00","0,00",2016-03-23,-
Trigon Profit IX NSFIZ,"183,24",PLN,"0,00","0,00","0,57","0,00","0,00","0,00",2016-03-23,-
Trigon Profit NSFIZ,"1 935,22",PLN,"0,00","0,00","0,48","1,17","0,00","0,00",2016-03-23,-
Trigon Profit V NSFIZ,"181,23",PLN,"0,00","0,00","-0,90","0,61","0,00","0,00",2016-03-23,-
Trigon Profit VII NSFIZ,"183,18",PLN,"0,00","0,00","0,70","2,14","0,00","0,00",2016-03-23,-
Trigon Profit VIII NSFIZ,"179,08",PLN,"0,00","0,00","-0,32","0,00","0,00","0,00",2016-03-23,-
Trigon Profit XI FIZ,"100,52",PLN,"0,00","0,00","0,22","0,51","0,00","0,00",2016-03-23,-
Trigon Profit XV NSFIZ,"179 493,00",PLN,"0,00","0,00","-0,19","0,00","0,00","0,00",2016-03-23,-
Trigon Quantum Absolute Return FIZ,"1 555,93",PLN,"0,00","0,00","1,39","0,00","0,00","0,00",2016-03-23,-
Trigon Quantum Arbitrage FIZ,"1 004,99",PLN,"0,00","0,00","0,00","0,00","0,00","0,00",2016-03-23,-
Trigon Quantum Neutral FIZ,"120,46",PLN,"0,00","0,00","1,14","0,00","0,00","0,00",2016-03-23,-
UniAkcje Biopharma (UniFundusze SFIO),"95,42",PLN,"0,63","-1,87","1,13","-7,97","0,00","0,00",2016-03-23,-
UniAkcje Dywidendowy (UniFundusze FIO),"114,79",PLN,"0,02","1,49","5,62","5,13","-9,70","0,00",2016-03-23,
UniAkcje Globalny Dywidendowy (UniFundusze SFIO),"100,31",PLN,"0,12","-0,49","3,20","-0,74","0,00","0,00",2016-03-23,-
UniAkcje Małych i Średnich Spółek (UniFundusze FIO),"90,04",PLN,"0,17","1,09","3,92","1,42","-8,43","19,42",2016-03-23,
UniAkcje Wzrostu (UniFundusze FIO),"90,77",PLN,"0,70","1,78","5,17","3,68","-8,39","15,45",2016-03-23,
UniAkcje: Daleki Wschód (UniFundusze SFIO),"94,77",PLN,"0,78","0,38","6,60","1,21","-15,93","0,00",2016-03-23,
UniAkcje: Nowa Europa (UniFundusze FIO),"105,84",PLN,"-0,14","1,34","4,12","4,69","-1,40","2,95",2016-03-23,-
UniAkcje: Turcja (UniFundusze FIO),"68,42",PLN,"-0,68","1,26","5,07","6,81","-14,69","-31,80",2016-03-23,
UniAktywny Pieniężny (UniFundusze SFIO),"100,50",PLN,"-0,06","0,00","0,30","0,48","0,00","0,00",2016-03-23,-
UniBessa (UniFundusze SFIO),"99,06",PLN,"0,00","0,03","-1,07","-0,62","-1,40","0,00",2016-03-23,-
UniDolar Pieniężny (USD) (UniFundusze FIO),"40,51",USD,"0,00","0,02","0,07","0,42","1,25","3,98",2016-03-23,-
UniDynamiczna Alokacja Aktywów (UniFundusze SFIO),"92,82",PLN,"-0,03","0,87","1,79","-2,15","0,00","0,00",2016-03-23,-
UniEURIBOR (EUR) (UniFundusze SFIO),"1 186,76",EUR,"0,01","0,05","0,20","0,33","0,65","3,35",2016-03-23,-
UniKorona Akcje (UniFundusze FIO),"187,39",PLN,"0,83","2,09","4,58","3,93","-11,63","4,31",2016-03-23,-
UniKorona Obligacje (UniFundusze FIO),"336,15",PLN,"-0,14","-0,04","0,04","1,21","-0,20","8,06",2016-03-23,
UniKorona Pieniężny (UniFundusze FIO),"203,99",PLN,"-0,02","0,05","0,48","0,58","0,88","9,90",2016-03-23,-
UniKorona Zrównoważony (UniFundusze FIO),"292,57",PLN,"0,49","1,26","2,99","2,75","-7,59","3,00",2016-03-23,-
UniLokata (UniFundusze FIO),"115,82",PLN,"0,01","0,03","0,14","0,43","1,93","8,49",2016-03-23,
UniObligacje Aktywny (UniFundusze SFIO),"150,22",PLN,"-0,21","0,04","0,88","1,84","-1,47","14,96",2016-03-23,
UniObligacje FIZ,"1 226,04",PLN,"0,00","0,00","0,49","0,00","0,00","0,00",2016-03-23,-
UniObligacje High Yield FIZ,"102,73",PLN,"0,00","0,00","0,28","0,00","0,00","0,00",2016-03-23,-
UniObligacje Zamienne (UniFundusze SFIO),"97,96",PLN,"0,00","0,17","1,14","-3,25","-4,44","0,00",2016-03-23,-
UniObligacje: Nowa Europa (UniFundusze FIO),"201,99",PLN,"-0,17","-0,41","-0,67","2,92","-1,88","10,98",2016-03-23,-
UniStabilny Wzrost (UniFundusze FIO),"163,71",PLN,"0,10","0,76","2,08","2,13","-6,12","5,12",2016-03-23,
UniStrategie Dynamiczny (UniFundusze SFIO),"98,94",PLN,"0,10","-0,20","3,58","-3,24","-12,12","0,00",2016-03-23,-
UniSystem 1 (UniSystem FIZ),"968,71",PLN,"0,00","0,00","0,63","0,00","0,00","0,00",2016-03-23,-
Universe 2 NSFIZ,"195 617,00",PLN,"0,00","0,00","0,16","1,41","0,00","0,00",2016-03-23,-
Universe NSFIZ,"221 945,00",PLN,"0,00","0,00","1,22","3,49","0,00","0,00",2016-03-23,-
UniWIBID Plus (UniFundusze SFIO),"1 675,19",PLN,"0,01","0,04","0,14","0,53","2,29","10,44",2016-03-23,-
WI Inwestycje Rolne FIZ AN,"1 440,40",PLN,"0,00","0,00","0,57","0,00","0,00","0,00",2016-03-23,-
WI Inwestycje Selektywne FIZ AN,"1 681,99",PLN,"0,00","0,00","0,44","0,00","0,00","0,00",2016-03-23,-
WI Vivante FIZ AN,"836,38",PLN,"0,00","0,00","0,33","0,00","0,00","0,00",2016-03-23,-
Zolkiewicz & Partners Inwestycji w Wartość FIZ,"104,46",PLN,"0,00","0,00","0,00","-3,98","0,00","0,00",2016-03-23,-
