Nazwa funduszu,Kurs,Waluta,St. zw. 1D,St. zw. 7D,St. zw. 1M,St. zw. 3M,St. zw. 1R,St. zw. 3L,Data,Ranking 12M
NN Gotówkowy (NN FIO),"259,86",PLN,"-0,02","-0,01","0,08","0,71","0,83","5,86",2016-03-22,-
NN Lokacyjny Plus (NN FIO),"121,48",PLN,"0,03","0,16","0,69","1,33","0,82","0,00",2016-03-22,
NN Obligacji (NN FIO),"288,24",PLN,"-0,08","0,18","0,76","2,30","0,75","10,32",2016-03-22,-
NN Perspektywa 2020 (NN Perspektywa SFIO),"118,97",PLN,"0,03","0,30","1,61","0,90","-1,70","9,11",2016-03-22,-
NN Perspektywa 2025 (NN Perspektywa SFIO),"119,04",PLN,"0,07","0,43","2,22","0,59","-3,08","9,29",2016-03-22,-
NN Perspektywa 2030 (NN Perspektywa SFIO),"117,41",PLN,"0,09","0,48","2,45","0,31","-4,09","8,65",2016-03-22,-
NN Perspektywa 2035 (NN Perspektywa SFIO),"116,57",PLN,"0,10","0,54","2,66","0,06","-4,93","8,56",2016-03-22,-
NN Perspektywa 2040 (NN Perspektywa SFIO),"115,15",PLN,"0,12","0,58","2,86","-0,23","-5,75","7,80",2016-03-22,-
NN Perspektywa 2045 (NN Perspektywa SFIO),"114,05",PLN,"0,14","0,63","3,04","-0,38","-6,19","7,98",2016-03-22,-
NN Selektywny (NN FIO),"71,61",PLN,"0,07","1,98","4,43","2,98","-9,40","15,43",2016-03-22,
NN SFIO Akcji 2,"332,31",PLN,"0,01","1,85","4,26","2,20","-9,73","10,75",2016-03-22,
NN SFIO Obligacji 2,"270,96",PLN,"-0,03","0,11","0,79","2,36","0,00","0,00",2016-03-22,-
NN Średnich i Małych Spółek (NN FIO),"175,98",PLN,"-0,02","1,56","4,10","2,29","-2,69","37,43",2016-03-22,-
NN Stabilnego Wzrostu (NN FIO),"251,16",PLN,"-0,02","0,67","1,75","1,75","-3,45","5,35",2016-03-22,
NN Zrównoważony (NN FIO),"292,31",PLN,"-0,01","1,14","2,88","2,83","-4,61","8,65",2016-03-22,
Noble Fund Africa and Frontier (Noble Funds SFIO),"45,19",PLN,"-0,29","1,66","3,81","6,96","-17,26","-37,25",2016-03-22,-
Noble Fund Akcji (Noble Funds FIO),"114,34",PLN,"-0,10","0,73","2,67","-1,86","-12,28","-4,66",2016-03-22,
Noble Fund Akcji Małych i Średnich Spółek (Noble Funds FIO),"87,98",PLN,"-0,57","0,80","1,93","-3,05","-1,83","21,99",2016-03-22,
Noble Fund Dywidendowy FIZ,"81,79",PLN,"0,00","0,00","4,60","0,00","0,00","0,00",2016-03-23,
Noble Fund Global Return (Noble Funds FIO),"113,79",PLN,"-0,26","0,54","0,88","-3,45","-8,35","-2,69",2016-03-22,-
Noble Fund Long Short FIZ,"954,69",PLN,"0,00","0,00","-3,62","0,00","0,00","0,00",2016-03-23,-
Noble Fund Mieszany (Noble Funds FIO),"141,32",PLN,"-0,23","0,39","1,27","-2,24","-4,96","8,60",2016-03-22,-
Noble Fund Obligacji (Noble Funds FIO),"107,52",PLN,"-0,02","0,00","0,20","1,20","0,56","0,00",2016-03-22,
Noble Fund Opportunity FIZ,"1 181,25",PLN,"0,00","0,00","1,90","0,00","0,00","0,00",2016-03-23,-
Noble Fund Pieniężny (Noble Funds FIO),"136,00",PLN,"-0,04","-0,01","-0,01","0,59","0,28","0,00",2016-03-22,
Noble Fund Stabilnego Wzrostu Plus (Noble Funds FIO),"141,59",PLN,"-0,25","-0,18","0,58","-0,13","-0,88","18,74",2016-03-22,
Noble Fund Timingowy (Noble Funds FIO),"140,80",PLN,"-0,02","0,57","1,35","-0,16","-0,26","5,14",2016-03-22,
Novo Akcji (Novo FIO),"158,90",PLN,"1,36","3,08","8,27","2,42","-28,16","-20,03",2016-03-23,
Novo Akcji Globalnych (Novo FIO),"99,77",PLN,"0,20","1,38","3,51","-2,34","-9,82","0,00",2016-03-23,
Novo Aktywnej Alokacji (Novo FIO),"85,71",PLN,"1,35","2,92","7,97","6,60","-10,45","-13,76",2016-03-23,
Novo Gotówkowy (Novo FIO),"139,07",PLN,"-0,01","-0,01","0,02","0,83","1,08","8,09",2016-03-23,-
Novo Obligacji Przedsiębiorstw (Novo FIO),"228,16",PLN,"0,01","-0,03","0,16","1,05","0,46","0,00",2016-03-23,
Novo Papierów Dłużnych (Novo FIO),"203,24",PLN,"-0,03","-0,12","0,00","1,31","-0,89","9,95",2016-03-23,
Novo Rentier FIZ,"927,02",PLN,"0,00","0,46","3,09","0,00","0,00","0,00",2016-03-23,-
Novo Stabilnego Wzrostu (Novo FIO),"186,84",PLN,"0,51","1,13","4,03","2,78","-11,14","-6,38",2016-03-23,
Novo Zrównoważonego Wzrostu (Novo FIO),"158,45",PLN,"0,91","2,13","6,59","3,49","-19,73","-15,36",2016-03-23,
Obligacyjny FIZ,"1 042,34",PLN,"0,00","0,00","-1,63","0,00","0,00","0,00",2016-03-23,-
Open Finance Absolute Return FIZ,"1 014,21",PLN,"0,00","0,00","0,00","0,00","0,00","0,00",2016-03-23,-
Open Finance Akcji (Open Finance FIO),"99,08",PLN,"0,32","1,93","2,93","-0,23","-14,22","-4,43",2016-03-22,
Open Finance Akcji Małych i Średnich Spółek (Open Finance FIO),"129,23",PLN,"-0,16","1,13","2,88","0,19","-3,02","21,04",2016-03-22,
Open Finance Aktywnej Alokacji (Open Finance FIO),"95,18",PLN,"0,06","0,60","0,88","1,92","-5,96","-11,34",2016-03-22,
Open Finance Obligacji (Open Finance FIO),"108,70",PLN,"-0,05","-0,01","0,06","0,49","-2,44","6,29",2016-03-22,
Open Finance Obligacji Przedsiębiorstw FIZ AN seria C,"1 072,21",PLN,"0,00","0,00","0,75","0,67","4,07","0,00",2016-03-23,
Open Finance Pieniężny (Open Finance FIO),"112,90",PLN,"0,02","0,03","0,23","0,67","1,37","0,00",2016-03-22,
Open Finance Stabilnego Wzrostu (Open Finance FIO),"108,10",PLN,"0,03","0,39","0,79","0,72","-5,69","1,32",2016-03-22,
Open Finance Surowcowy FIZ,"103,46",PLN,"0,00","0,00","-0,12","0,00","0,00","0,00",2016-03-23,-
Opera Alfa-plus.pl (Opera SFIO),"14,11",PLN,"0,00","0,28","3,45","4,36","-6,93","1,51",2016-03-22,-
Opera Avista-plus.pl (Opera SFIO),"15,98",PLN,"0,00","-0,44","0,25","1,52","2,04","10,59",2016-03-22,-
Opera Avista.pl (Opera FIO),"18,43",PLN,"0,00","-0,11","-0,16","1,49","0,99","12,31",2016-03-23,
Opera Equilibrium.pl (Opera FIO),"10,92",PLN,"0,83","1,96","5,10","0,18","-18,51","-12,43",2016-03-23,
Opera FIZ,"38 632,50",PLN,"0,00","0,00","0,00","0,00","0,00","0,00",2016-03-23,-
Opera NGO SFIO,"10,02",PLN,"0,00","0,50","1,73","4,38","-0,89","-6,36",2016-03-23,-
Opera Pecunia.pl (Opera FIO),"12,62",PLN,"0,00","0,00","0,00","0,64","0,64","7,50",2016-03-23,
Opera Tutus-plus (Opera SFIO),"12,22",PLN,"0,00","-0,33","0,33","1,66","1,49","0,00",2016-03-22,
Opera Universa.pl (Opera FIO),"6,62",PLN,"1,07","3,12","9,42","2,48","-29,57","-28,82",2016-03-23,-
Opera Za 3 Grosze FIZ,"233,04",PLN,"0,00","0,00","0,25","0,00","0,00","0,00",2016-03-23,-
Opoka Akcji 130/30 (Opoka Omega FIZ),"98,18",PLN,"0,00","0,00","2,69","0,00","0,00","0,00",2016-03-23,-
Opoka Alfa (Opoka Omega FIZ),"107,62",PLN,"0,00","0,00","2,67","0,00","0,00","0,00",2016-03-23,-
Opoka Neutral (Opoka Omega FIZ),"111,03",PLN,"0,00","0,00","0,19","0,00","0,00","0,00",2016-03-23,-
Opoka One FIZ,"137,33",PLN,"0,00","0,00","0,00","0,00","0,00","0,00",2016-03-23,-
Optimum Akcji (Optimum FIO),"8,03",PLN,"0,12","2,29","6,36","4,02","-18,64","0,00",2016-03-22,
Optimum Gotówkowy (Optimum FIO),"10,15",PLN,"-0,10","-0,10","0,00","-0,39","-0,98","0,00",2016-03-22,
Optimum Obligacji (Optimum FIO),"10,34",PLN,"-0,10","-0,10","0,19","1,08","-0,58","0,00",2016-03-22,
Pioneer Akcji - Aktywna Selekcja (Pioneer FIO),"9,15",PLN,"0,11","1,89","6,52","3,27","-18,08","-4,29",2016-03-22,
Pioneer Akcji Amerykańskich (Pioneer Walutowy FIO),"98,43",PLN,"0,38","-0,18","0,86","-2,93","-10,08","36,63",2016-03-22,-
Pioneer Akcji Amerykańskich (USD) (Pioneer Walutowy FIO),"25,90",USD,"-0,08","1,53","4,56","-0,92","-8,55","16,35",2016-03-22,-
Pioneer Akcji Europejskich (EUR) (Pioneer Walutowy FIO),"10,78",EUR,"0,00","0,09","3,55","-4,94","-13,83","17,43",2016-03-22,-
Pioneer Akcji Europejskich (Pioneer Walutowy FIO),"45,92",PLN,"-0,02","-0,43","1,01","-4,55","-11,06","19,55",2016-03-22,-
Pioneer Akcji Europy Wschodniej (Pioneer Funduszy Globalnych SFIO),"5,62",PLN,"0,18","3,31","14,00","6,84","-5,86","-23,64",2016-03-22,
Pioneer Akcji Małych i Średnich Spółek Rynków Rozwiniętych (Pioneer Funduszy Globalnych SFIO),"10,98",PLN,"0,09","0,83","3,39","-4,52","-9,85","30,87",2016-03-22,-
Pioneer Akcji Polskich (Pioneer FIO),"19,63",PLN,"0,20","1,66","4,86","1,60","-18,85","-10,20",2016-03-22,-
Pioneer Akcji Rynków Dalekiego Wschodu (Pioneer Funduszy Globalnych SFIO),"8,22",PLN,"0,24","2,24","5,93","-4,08","-11,61","1,73",2016-03-22,-
Pioneer Akcji Rynków Wschodzących (Pioneer Funduszy Globalnych SFIO),"6,11",PLN,"-0,33","2,86","10,29","1,49","-9,62","-22,36",2016-03-22,-
Pioneer Alternatywny - Absolutnej Stopy Zwrotu (Pioneer Funduszy Globalnych SFIO),"9,83",PLN,"0,10","0,51","1,55","0,00","0,00","0,00",2016-03-22,-
Pioneer Alternatywny - Globalnego Dochodu (Pioneer Funduszy Globalnych SFIO),"9,61",PLN,"0,10","0,63","2,56","0,84","-3,71","0,00",2016-03-22,-
Pioneer Dochodu i Wzrostu Regionu Pacyfiku (Pioneer Funduszy Globalnych SFIO),"13,95",PLN,"0,36","1,45","4,97","-0,21","-4,58","6,49",2016-03-22,-
Pioneer Dochodu i Wzrostu Rynku Chińskiego (Pioneer Funduszy Globalnych SFIO),"14,91",PLN,"0,00","1,64","4,27","-2,74","-8,47","4,12",2016-03-22,-
Pioneer Dynamicznych Spółek (Pioneer FIO),"17,03",PLN,"-0,29","0,77","3,53","-2,46","-8,83","21,82",2016-03-22,
Pioneer Elastycznego Inwestowania (Pioneer Strategie Funduszowe SFIO),"11,04",PLN,"0,00","0,64","1,85","0,09","-4,25","-0,09",2016-03-22,-
Pioneer Global Multi-Asset Target Income FIZ,"938,19",PLN,"0,14","0,33","2,32","0,00","0,00","0,00",2016-03-22,
Pioneer Gotówkowy (Pioneer Funduszy Globalnych SFIO),"11,97",PLN,"-0,08","0,00","0,08","0,34","1,01","5,93",2016-03-22,
Pioneer Konsumpcji i Wzrostu Rynków Wschodzących FIZ,"961,19",PLN,"0,08","2,71","6,46","0,00","0,00","0,00",2016-03-22,
Pioneer Małych i Średnich Spółek Rynku Polskiego (Pioneer FIO),"8,67",PLN,"-0,46","0,23","2,12","-3,34","-11,35","16,38",2016-03-22,-
Pioneer Obligacji - Dynamiczna Alokacja 2 (Pioneer FIO),"11,74",PLN,"-0,09","0,00","0,34","1,38","0,95","12,56",2016-03-22,
Pioneer Obligacji - Dynamiczna Alokacja FIO,"135,90",PLN,"-0,05","-0,01","0,38","1,20","1,08","10,67",2016-03-22,
Pioneer Obligacji Dolarowych Plus (Pioneer Walutowy FIO),"71,23",PLN,"0,42","-1,01","-0,75","-0,42","-4,90","12,79",2016-03-22,-
Pioneer Obligacji Dolarowych Plus (USD) (Pioneer Walutowy FIO),"18,74",USD,"-0,05","0,64","2,85","1,63","-3,30","-3,95",2016-03-22,-
Pioneer Obligacji Europejskich Plus (EUR) (Pioneer Walutowy FIO),"10,54",EUR,"0,00","0,19","0,76","0,10","-2,50","3,13",2016-03-22,-
Pioneer Obligacji Europejskich Plus (Pioneer Walutowy FIO),"44,91",PLN,"0,02","-0,33","-1,69","0,56","0,74","4,93",2016-03-22,-
Pioneer Obligacji i Dochodu (Pioneer Funduszy Globalnych SFIO),"10,42",PLN,"0,19","0,29","3,37","2,36","0,00","0,00",2016-03-22,
Pioneer Obligacji Plus (Pioneer FIO),"56,06",PLN,"-0,07","0,02","0,38","1,15","0,68","0,00",2016-03-22,
Pioneer Obligacji Strategicznych (Pioneer Funduszy Globalnych SFIO),"17,10",PLN,"0,06","0,53","2,83","0,94","-1,16","5,30",2016-03-22,-
Pioneer Pieniężny (Pioneer FIO),"186,38",PLN,"-0,01","-0,01","0,19","0,38","0,90","5,88",2016-03-22,
Pioneer Pieniężny Plus (Pioneer FIO),"10,64",PLN,"0,00","0,00","0,19","0,47","1,24","0,00",2016-03-22,
Pioneer Stabilnego Inwestowania (Pioneer FIO),"11,47",PLN,"0,09","1,06","2,41","2,69","-7,50","2,32",2016-03-22,
Pioneer Stabilnego Wzrostu (Pioneer FIO),"187,70",PLN,"0,03","0,66","1,73","0,70","-5,51","-0,06",2016-03-22,
Pioneer Strategii Globalnej (Pioneer Strategie Funduszowe SFIO),"17,54",PLN,"0,06","0,29","2,39","-0,85","-6,90","11,86",2016-03-22,-
Pioneer Strategii Globalnej - konserwatywny (Pioneer Strategie Funduszowe SFIO),"10,24",PLN,"0,00","0,29","1,69","0,79","0,00","0,00",2016-03-22,-
Pioneer Surowców i Energii (Pioneer Funduszy Globalnych SFIO),"5,64",PLN,"0,18","1,26","5,82","5,22","-15,95","-32,94",2016-03-22,-
Pioneer Wzrostu i Dochodu Rynku Amerykańskiego (Pioneer Funduszy Globalnych SFIO),"10,09",PLN,"0,00","0,70","3,38","0,80","-0,39","0,00",2016-03-22,-
Pioneer Wzrostu i Dochodu Rynku Europejskiego (Pioneer Funduszy Globalnych SFIO),"10,72",PLN,"0,00","0,00","2,88","-2,28","-5,88","0,00",2016-03-22,-
Pioneer Zabezpieczony Rynku Polskiego (Pioneer Strategie Funduszowe SFIO),"11,20",PLN,"0,00","0,09","0,18","0,99","-1,75","2,19",2016-03-22,-
Pioneer Zmiennej Alokacji (Pioneer Strategie Funduszowe SFIO),"12,70",PLN,"0,00","0,24","0,40","0,63","-2,61","3,00",2016-03-22,-
Pioneer Zmiennej Alokacji - Rynki Europy Wschodniej (Pioneer Strategie Funduszowe SFIO),"9,83",PLN,"0,00","0,31","1,03","0,92","-2,58","-4,66",2016-03-22,-
Pioneer Zmiennej Alokacji - Rynki Wschodzące (Pioneer Strategie Funduszowe SFIO),"9,58",PLN,"0,00","0,31","0,95","0,84","-1,34","-3,72",2016-03-22,-
Pioneer Zmiennej Alokacji 2 (Pioneer Strategie Funduszowe SFIO),"11,47",PLN,"0,00","0,17","0,44","0,88","-2,30","3,80",2016-03-22,-
Pioneer Zmiennej Alokacji 3 (Pioneer Strategie Funduszowe SFIO),"11,55",PLN,"0,00","0,17","0,35","0,43","-3,19","5,67",2016-03-22,-
Pioneer Zmiennej Alokacji Rynku Amerykańskiego (Pioneer Strategie Funduszowe SFIO),"12,75",PLN,"-0,08","0,08","0,39","0,87","0,08","15,07",2016-03-22,-
Pioneer Zmiennej Alokacji Rynku Polskiego (Pioneer Strategie Funduszowe SFIO),"10,35",PLN,"0,00","0,19","0,39","0,39","-3,36","1,27",2016-03-22,-
Pioneer Zrównoważony (Pioneer FIO),"109,68",PLN,"0,04","0,90","2,75","-0,33","-11,76","-4,36",2016-03-22,-
Pioneer Zrównoważony Rynku Amerykańskiego (Pioneer Walutowy FIO),"49,43",PLN,"0,41","-0,60","-0,30","-2,29","-8,05","27,59",2016-03-22,-
Pioneer Zrównoważony Rynku Amerykańskiego (USD) (Pioneer Walutowy FIO),"13,01",USD,"0,00","1,09","3,34","-0,23","-6,47","8,69",2016-03-22,-
PKO Akcji Dywidendowych Globalny (Parasolowy FIO),"102,65",PLN,"-0,07","0,10","2,57","-1,03","0,00","0,00",2016-03-22,-
PKO Akcji Dywidendowych Globalny A1 (Parasolowy FIO),"103,01",PLN,"-0,07","0,11","2,63","-0,85","0,00","0,00",2016-03-22,-
PKO Akcji Małych i Średnich Spółek (Parasolowy FIO),"211,80",PLN,"0,08","1,21","4,30","-0,58","-4,77","30,43",2016-03-22,-
PKO Akcji Małych i Średnich Spółek A1 (Parasolowy FIO),"216,96",PLN,"0,08","1,23","4,38","-0,33","-3,81","33,61",2016-03-22,-
PKO Akcji Nowa Europa (Parasolowy FIO),"100,25",PLN,"-0,75","1,71","5,79","5,59","0,18","6,85",2016-03-22,-
PKO Akcji Nowa Europa A1 (Parasolowy FIO),"109,51",PLN,"-0,76","1,74","5,88","5,85","1,19","10,12",2016-03-22,-
PKO Akcji Plus (Parasolowy FIO),"77,44",PLN,"0,25","1,26","5,36","3,27","-7,17","17,17",2016-03-22,
PKO Akcji Plus A1 (Parasolowy FIO),"79,56",PLN,"0,25","1,29","5,46","3,54","-6,21","20,31",2016-03-22,-
PKO Akcji Rynków Wschodzących (Parasolowy FIO),"83,25",PLN,"0,19","3,93","7,56","1,41","0,00","0,00",2016-03-22,-
PKO Akcji Rynków Wschodzących A1 (Parasolowy FIO),"83,74",PLN,"0,19","3,96","7,65","1,68","0,00","0,00",2016-03-22,-
PKO Akcji Rynku Amerykańskiego (Parasolowy FIO),"95,62",PLN,"0,20","1,79","4,97","0,72","0,00","0,00",2016-03-22,-
PKO Akcji Rynku Amerykańskiego A1 (Parasolowy FIO),"96,18",PLN,"0,21","1,82","5,06","0,97","0,00","0,00",2016-03-22,-
PKO Akcji Rynku Azji i Pacyfiku (Parasolowy FIO),"86,74",PLN,"0,12","2,86","6,43","-0,34","0,00","0,00",2016-03-22,-
PKO Akcji Rynku Azji i Pacyfiku A1 (Parasolowy FIO),"87,25",PLN,"0,13","2,88","6,52","-0,09","0,00","0,00",2016-03-22,-
PKO Akcji Rynku Europejskiego (Parasolowy FIO),"85,54",PLN,"-0,15","-0,59","1,60","-4,99","0,00","0,00",2016-03-22,-
PKO Akcji Rynku Europejskiego A1 (Parasolowy FIO),"86,06",PLN,"-0,15","-0,58","1,67","-4,81","0,00","0,00",2016-03-22,-
PKO Akcji Rynku Japońskiego (Parasolowy FIO),"83,64",PLN,"1,33","0,31","4,54","-11,57","0,00","0,00",2016-03-22,-
PKO Akcji Rynku Japońskiego A1 (Parasolowy FIO),"84,13",PLN,"1,32","0,32","4,61","-11,35","0,00","0,00",2016-03-22,-
PKO Akcji Rynku Złota (Parasolowy FIO),"102,26",PLN,"-0,01","3,31","7,56","41,28","0,00","0,00",2016-03-22,-
PKO Akcji Rynku Złota A1 (Parasolowy FIO),"102,61",PLN,"0,00","3,33","7,60","41,47","0,00","0,00",2016-03-22,-
PKO Bezpieczna Lokata I FIZ,"105,88",PLN,"0,00","0,00","0,00","0,20","0,00","0,00",2016-03-23,-
PKO Dóbr Luksusowych Globalny (Parasolowy FIO),"151,34",PLN,"0,04","0,79","4,48","0,42","-0,89","24,37",2016-03-22,-
PKO Dóbr Luksusowych Globalny A1 (Parasolowy FIO),"154,89",PLN,"0,05","0,81","4,56","0,68","0,12","27,28",2016-03-22,-
PKO Europa Wschód-Zachód FIZ seria A,"107,17",PLN,"0,00","0,00","0,01","0,00","0,00","0,00",2016-03-23,-
PKO Europa Wschód-Zachód FIZ seria B,"107,74",PLN,"0,00","0,00","0,00","0,00","0,00","0,00",2016-03-23,-
PKO Europa Wschód-Zachód FIZ seria C,"105,28",PLN,"0,00","0,00","0,01","0,00","0,00","0,00",2016-03-23,-
PKO Europa Wschód-Zachód FIZ seria D,"106,75",PLN,"0,00","0,00","0,01","0,43","0,00","0,00",2016-03-23,-
PKO Globalnego Dochodu FIZ,"99,98",PLN,"0,00","0,00","0,00","-0,04","0,00","0,00",2016-03-23,-
PKO Globalnej Makroekonomii FIZ seria A,"1 380,10",PLN,"0,00","0,00","1,59","0,00","0,00","0,00",2016-03-23,-
PKO Globalnej Makroekonomii FIZ seria B,"1 345,69",PLN,"0,00","0,00","1,47","0,00","0,00","0,00",2016-03-23,-
PKO Globalnej Makroekonomii FIZ seria C,"1 359,87",PLN,"0,00","0,00","1,47","0,00","0,00","0,00",2016-03-23,-
PKO Globalnej Makroekonomii FIZ seria D,"1 345,32",PLN,"0,00","0,00","1,47","0,00","0,00","0,00",2016-03-23,-
PKO Globalnej Makroekonomii FIZ seria E,"1 359,05",PLN,"0,00","0,00","1,47","0,00","0,00","0,00",2016-03-23,-
PKO Globalnej Makroekonomii FIZ seria F,"1 380,56",PLN,"0,00","0,00","1,47","0,00","0,00","0,00",2016-03-23,-
PKO Globalnej Makroekonomii FIZ seria G,"1 368,04",PLN,"0,00","0,00","1,47","0,00","0,00","0,00",2016-03-23,-
PKO Globalnej Makroekonomii FIZ seria H,"1 384,21",PLN,"0,00","0,00","1,47","0,00","0,00","0,00",2016-03-23,-
PKO Globalnej Makroekonomii FIZ seria I,"1 394,35",PLN,"0,00","0,00","1,49","4,46","0,00","0,00",2016-03-23,-
PKO Globalnej Makroekonomii FIZ seria J,"1 358,72",PLN,"0,00","0,00","0,00","0,00","0,00","0,00",2016-03-23,-
PKO Globalnej Strategii FIZ,"107,42",PLN,"0,00","0,00","0,99","0,00","0,00","0,00",2016-03-23,-
PKO Infrastruktury i Budownictwa Globalny (Parasolowy FIO),"83,61",PLN,"0,26","1,43","6,43","1,43","0,67","7,23",2016-03-22,-
PKO Infrastruktury i Budownictwa Globalny A1 (Parasolowy FIO),"85,92",PLN,"0,27","1,45","6,52","1,67","1,69","10,20",2016-03-22,-
PKO Multi Strategia FIZ seria A,"98,09",PLN,"0,00","0,00","-0,14","0,00","0,00","0,00",2016-03-23,-
PKO Multi Strategia FIZ seria B,"98,92",PLN,"0,00","0,00","-0,14","0,00","0,00","0,00",2016-03-23,-
PKO Multi Strategia FIZ seria C,"98,83",PLN,"0,00","0,00","-0,14","0,00","0,00","0,00",2016-03-23,-
PKO Multi Strategia FIZ seria D,"98,60",PLN,"0,00","0,00","-0,14","-2,81","0,00","0,00",2016-03-23,-
PKO Nieruchomości Komercyjnych FIZ AN,"10,14",PLN,"0,00","0,00","0,00","0,00","0,00","0,00",2016-03-23,-
PKO Obligacji Długoterminowych (Parasolowy FIO),"201,56",PLN,"-0,17","-0,15","0,54","1,69","1,58","11,39",2016-03-22,
PKO Obligacji Długoterminowych A1 (Parasolowy FIO),"206,00",PLN,"-0,16","-0,15","0,56","1,74","1,97","12,93",2016-03-22,-
PKO Obligacji Korporacyjnych FIZ seria A,"119,80",PLN,"0,00","0,00","0,13","0,00","0,00","0,00",2016-03-23,-
PKO Obligacji Korporacyjnych FIZ seria B,"119,35",PLN,"0,00","0,00","0,13","0,00","0,00","0,00",2016-03-23,-
PKO Obligacji Korporacyjnych FIZ seria C,"118,85",PLN,"0,00","0,00","0,13","0,00","0,00","0,00",2016-03-23,-
PKO Obligacji Korporacyjnych FIZ seria D,"120,09",PLN,"0,00","0,00","0,13","0,00","0,00","0,00",2016-03-23,-
PKO Obligacji Korporacyjnych FIZ seria E,"119,45",PLN,"0,00","0,00","0,13","0,00","0,00","0,00",2016-03-23,-
PKO Obligacji Korporacyjnych FIZ seria F,"119,69",PLN,"0,00","0,00","0,00","0,00","0,00","0,00",2016-03-23,-
PKO Papierów Dłużnych Plus (Parasolowy FIO),"163,70",PLN,"-0,14","-0,18","0,40","1,25","1,03","7,43",2016-03-22,
PKO Papierów Dłużnych Plus A1 (Parasolowy FIO),"166,73",PLN,"-0,14","-0,17","0,42","1,30","1,40","8,91",2016-03-22,-
PKO Papierów Dłużnych USD (Parasolowy FIO),"106,29",PLN,"0,29","-1,04","-2,54","0,30","0,00","0,00",2016-03-22,-
PKO Papierów Dłużnych USD A1 (Parasolowy FIO),"106,46",PLN,"0,30","-1,04","-2,54","0,33","0,00","0,00",2016-03-22,-
PKO Płynnościowy SFIO,"11,25",PLN,"-0,09","-0,18","0,27","1,17","1,99","10,08",2016-03-22,
PKO Płynnościowy SFIO A1,"11,32",PLN,"-0,09","-0,09","0,18","1,16","2,17","10,76",2016-03-22,-
PKO Rynku Pieniężnego (Parasolowy FIO),"1 429,52",PLN,"-0,01","0,02","0,10","0,49","0,98","5,50",2016-03-22,-
PKO Rynku Pieniężnego A1 (Parasolowy FIO),"1 445,12",PLN,"-0,01","0,02","0,11","0,51","1,08","5,82",2016-03-22,-
PKO Skarbowy (Parasolowy FIO),"2 084,16",PLN,"-0,06","-0,11","0,30","1,09","1,41","6,81",2016-03-22,
PKO Skarbowy A1 (Parasolowy FIO),"2 131,97",PLN,"-0,06","-0,11","0,31","1,12","1,52","7,13",2016-03-22,-
PKO Spółek Innowacyjnych Globalny FIZ seria A,"114,44",PLN,"0,00","0,00","4,54","0,00","0,00","0,00",2016-03-23,-
PKO Spółek Innowacyjnych Globalny FIZ seria B,"107,79",PLN,"0,00","0,00","3,53","0,00","0,00","0,00",2016-03-23,-
PKO Spółek Innowacyjnych Globalny FIZ seria C,"114,66",PLN,"0,00","0,00","3,55","0,00","0,00","0,00",2016-03-23,-
PKO Stabilnego Wzrostu (Parasolowy FIO),"147,89",PLN,"0,01","0,24","2,07","1,65","-2,49","9,42",2016-03-22,-
PKO Stabilnego Wzrostu A1 (Parasolowy FIO),"157,18",PLN,"0,02","0,25","2,12","1,78","-1,99","11,08",2016-03-22,-
PKO Strategicznej Alokacji (Parasolowy FIO),"88,73",PLN,"-0,15","0,72","3,97","4,66","-2,95","3,34",2016-03-22,
PKO Strategicznej Alokacji A1 (Parasolowy FIO),"88,73",PLN,"-0,15","0,72","3,97","4,66","-2,95","3,34",2016-03-22,-
PKO Strategii Obligacyjnych FIZ,"103,55",PLN,"0,00","0,00","0,00","0,00","0,00","0,00",2016-03-23,-
PKO Surowców Globalny (Parasolowy FIO),"89,28",PLN,"-0,13","2,20","10,85","33,65","5,17","-9,85",2016-03-22,-
PKO Surowców Globalny A1 (Parasolowy FIO),"91,38",PLN,"-0,13","2,21","10,94","33,99","6,24","-7,73",2016-03-22,-
PKO Technologii i Innowacji Globalny (Parasolowy FIO),"171,51",PLN,"0,35","2,19","6,15","0,08","-0,65","43,99",2016-03-22,-
PKO Technologii i Innowacji Globalny A1 (Parasolowy FIO),"175,70",PLN,"0,35","2,21","6,23","0,33","0,36","47,51",2016-03-22,-
PKO Zabezpieczenia Emerytalnego 2020 (PKO Zabezpieczenia Emerytalnego SFIO),"11,19",PLN,"-0,18","-0,18","0,36","1,45","1,36","8,54",2016-03-22,-
PKO Zabezpieczenia Emerytalnego 2030 (PKO Zabezpieczenia Emerytalnego SFIO),"11,17",PLN,"0,00","0,63","2,20","1,55","-3,46","8,55",2016-03-22,-
PKO Zabezpieczenia Emerytalnego 2040 (PKO Zabezpieczenia Emerytalnego SFIO),"10,82",PLN,"0,00","0,93","2,75","1,79","-6,16","6,39",2016-03-22,-
PKO Zabezpieczenia Emerytalnego 2050 (PKO Zabezpieczenia Emerytalnego SFIO),"11,28",PLN,"0,27","1,62","4,74","2,83","-5,13","11,57",2016-03-22,-
PKO Zabezpieczenia Emerytalnego 2060 (PKO Zabezpieczenia Emerytalnego SFIO),"11,46",PLN,"0,17","1,60","4,66","2,69","-5,83","11,26",2016-03-22,-
PKO Zrównoważony (Parasolowy FIO),"126,00",PLN,"0,05","0,41","3,06","2,04","-4,05","8,63",2016-03-22,-
